id,category,content_descriptions,rating,synopsis,rating_class,category_name
987,1,Any[],9,"The premise behind this adventure game is that small invisible creatures exist in color-spectrum wavelengths that can be detected, interacted with by using—the Sony PSP camera. Thus players capture invisible creatures called ""invizimals"" to use them in battles against other invizimals in tournament-style matches.  Capturing  invizimals means shooting them with fireballs, luring them into the PSP camera, surrounding them with flames;  Fighting  means that the little fantasy creatures use elemental (fire, wind, ice, etc.) and physical attacks to defeat their animated opponents. Invizimals can ""claw-slash,"" spit fire, shoot spikes, or use toxic flatulence to inflict damage. One creature (Flameclaw) stabs itself with its stinger if it loses a match; another creature (Skysaur) shoots projectiles from its rear end; and the Bongorilla invizimal picks its nose and wipes its boogers on the ground. The game contains live-action cutscenes in which real actors sometimes push and shove each other; the scenes are often dramatic and may include frequent references to kidnapping, or discussions about ""weaponizing"" the invizimals.",E10,ESRB
2990,1,Null,8,Null,E,ESRB
3154,1,Any[],10,Null,T,ESRB
3182,1,Null,8,Null,E,ESRB
2350,1,Null,8,Null,E,ESRB
426,1,Any[],11,Null,M,ESRB
990,1,Any[],11,"In this open-world action game, players assume the role of three criminals whose storylines intersect within the fictional city of Los Santos. Players can switch between each character to follow his storyline, completing missions which often include criminal activities (e.g., stealing cars, executing heists, assassinating targets). Players use pistols, machine guns, sniper rifles, and explosives to kill various enemies (e.g., rival gang members); players also have the ability to shoot non-adversary civilians, though this may negatively affect players' progress as a penalty system triggers a broad police search. Blood-splatter effects occur frequently, and the game contains rare depictions of dismemberment.  In one sequence, players are directed to use various instruments and means (e.g., pipe wrench, tooth removal, electrocution) to extract information from a character; the sequence is intense and prolonged, and it involves some player interaction (i.e., responding to on-screen prompts). The game includes depictions of sexual material/activity: implied fellatio and masturbation; various sex acts that the player's character procures from a prostitute—while no nudity is depicted in these sequences, various sexual moaning sounds can be heard. Nudity is present, however, primarily in two settings: a topless lap dance in a strip club and a location that includes male cult members with exposed genitalia in a non-sexual context. Within the game, TV programs and radio ads contain instances of mature humor: myriad sex jokes; depictions of raw sewage and feces on a worker's body; a brief instance of necrophilia (no nudity is depicted). Some sequences within the larger game allow players to use narcotics (e.g., smoking from a bong, lighting a marijuana joint); cocaine use is also depicted. Players' character can, at various times, consume alcohol and drive while under the influence. The words “f**k,”“c*nt,” and “n**ger” can be heard in the dialogue.",M,ESRB
6,1,Any[],11,Null,M,ESRB
1062,1,Any[],11,Null,M,ESRB
115,1,Null,11,Null,M,ESRB
740,1,Null,8,Null,E,ESRB
974,1,Any[],11,Null,M,ESRB
21,1,Any[],10,"This is a first-person shooter in which players assume the role of would-be vigilantes and criminals that fight for control over a stylized Gotham City. Players use assault rifles, shotguns, rocket launchers, and assorted gadgets (e.g., ninja smoke bombs, grappling guns) to attack enemies in team-based combat. These over-the-top battles are often accompanied by gunfire, large explosions, and cries of pain; brief blood-splatter effects can occur as enemies are shot or injured. Characters can also be temporarily impaled with arrows, or frozen and shattered to pieces as a result of an ice gun. Some female characters are depicted in form-fitting outfits and lingerie that reveal moderate amounts of cleavage; a “sensual” voice option is also available in the customization menu (e.g., “I hope you bats like it rough.”). The game includes character profile phrases such as “Cuts the cheese,”“Holding down the fart,” and “I peed on it. It's mine”; one comical sequence depicts a baby vomiting onto a refrigerator. The dialogue includes language censored by audible bleeps (e.g., “Listen to me, you mother-[bleep] clowns!” and “Yep! [bleep] for brains!”); one cutscene depicts a character sticking up his middle finger (partially obscured). Unedited words such as “a*s” and ""damn"" can also be heard in dialogue.",T,ESRB
1020,1,Null,8,Null,E,ESRB
295,1,Any[],11,Null,M,ESRB
306,1,Any[],11,Null,M,ESRB
2148,1,Null,8,Null,E,ESRB
21040,1,Any[],10,"This is a tactical action game in which players assume the role of warriors battling for control of ancient China. Players engage in hack-and-slash combat with hordes of enemy soldiers using swords, spears, crossbows, hammers, and bladed weapons. Battles are highlighted by sword-slashing effects, impact sounds, and cries of pain; enemies collapse to the ground when killed. In a handful of cutscenes, characters are depicted impaled by arrows and spears. The game contains references to alcohol in the dialogue (e.g., “I hope you can hold your alcohol, because I want to have a few drinks tonight”; ""He loves wine, too, and drinks a lot of it”; “I like to share some wine with my friends.”). The word “bastard” appears in the game.",T,ESRB
2183,1,Null,8,Null,E,ESRB
1985,1,Null,8,Null,E,ESRB
184,1,Any[],8,Null,E,ESRB
398,1,Any[],10,Null,T,ESRB
22439,2,Null,1,Null,Three,PEGI
1561,1,Null,8,Null,E,ESRB
1266,1,Null,8,"This is a football simulation game in which players can select teams from real NFL rosters, create and run plays, arrange playbooks, improve skills, and create/manage a franchise. Football games are presented with extensive player statistics and commentary from professional broadcasters.",E,ESRB
1271,1,Any[],11,Mature 17+,M,ESRB
2064,1,Null,8,Null,E,ESRB
272,1,Any[],9,Null,E10,ESRB
19560,1,Null,11,Null,M,ESRB
1075,1,Null,8,Null,E,ESRB
1626,1,Null,8,Null,E,ESRB
11133,2,Any[49],5,"The content of this game is suitable for persons aged 18 years and over only.
It contains: Extreme violence.",Eighteen,PEGI
1638,1,Any[],10,Null,T,ESRB
1970,1,Null,8,Null,E,ESRB
515,1,Any[],11,Null,M,ESRB
482,1,Any[],9,"This is an action racing game in which players drive futuristic vehicles through fantastical urban settings. As players speed around each track, they can pick up a variety of power-ups (e.g., earthquakes, plasma beams, mines, rockets) to slow down and damage opponents. The somewhat frenetic races are highlighted by crashing sounds, colorful explosions, and scattered debris. In Combat mode, players earn points by destroying as many other vehicles as possible.",E10,ESRB
9066,1,Null,10,Null,T,ESRB
1121,1,Any[],10,Null,T,ESRB
326,1,Any[],11,Null,M,ESRB
3155,1,Any[],10,Null,T,ESRB
471,1,Any[],8,Null,E,ESRB
1879,1,Any[],11,Null,M,ESRB
224,1,Any[],8,Null,E,ESRB
231,1,Any[],8,Null,E,ESRB
11233,1,Any[],10,"This is a first-person shooter in which players compete in a ""kill-or-be-killed""-style TV program. Cartoonlike characters use frying pans, golf clubs, barbeque forks, machine guns, flamethrowers, knives, and swords to kill other actors on the TV/movie sets. Characters are often guided by the instructions and prompting of a TV/movie director. As the characters run around various sets, they are rewarded with notoriety, fame, and points for creative kills. Brightly-colored bloodstains sometimes appear when characters are hit; small bloodstains occasionally appear on floors and walls. Players are also assisted by environmental traps (e.g., electric currents, fiery gas explosions, and movable floors), which can kill several characters at once. Guards will occasionally zap characters with tasers for failing to observe in-game rules, such as refraining from killing innocent or non-targeted characters.  Some female characters are depicted in bikinis, low-cut clothing, bunny outfits, and showgirl costumes that expose a lot of cleavage. A movie set displays a call sheet that details a bedroom scene, with the text ""Please Note: As this scene involves nudity, ONLY the involved actors, the assigned camera op and the director should be present."" During the course of the game, characters may use toilets and can be seen sitting on toilet bowls as they groan and emit flatulence. Items such as beer bottles, wine bottles, kegs, and tequila appear in the game; players are also able to consume beer. Some dialogue contains language such as ""a*s,""""damn,"" and ""hell,"" as well as references to drugs (e.g., ""toker,""""reefer,""""bongwater,"" and ""weed"").",T,ESRB
1991,1,Null,8,Null,E,ESRB
2132,1,Any[],8,Null,E,ESRB
286,1,Any[],11,Null,M,ESRB
1334,1,Null,8,Null,E,ESRB
1979,1,Any[],10,Null,T,ESRB
438,1,Any[],11,Null,M,ESRB
1339,1,Null,10,Null,T,ESRB
2031,1,Null,10,Null,T,ESRB
3750,1,Null,8,Null,E,ESRB
1512,1,Null,8,Null,E,ESRB
620,1,Any[],9,Null,E10,ESRB
3025,1,Any[],11,Null,M,ESRB
730,1,Null,8,Null,E,ESRB
623,1,Any[],10,Null,T,ESRB
622,1,Any[],10,Null,T,ESRB
733,1,Null,8,Null,E,ESRB
1887,1,Null,8,Null,E,ESRB
966,1,Any[],11,Null,M,ESRB
1270,1,Any[],10,Teen,T,ESRB
1186,1,Any[],11,Null,M,ESRB
2136,1,Any[],9,Null,E10,ESRB
456,1,Any[],8,Null,E,ESRB
181,1,Any[],10,Null,T,ESRB
493,1,Any[],11,Null,M,ESRB
389,1,Any[],11,Null,M,ESRB
472,1,Any[],8,Null,E,ESRB
425,1,Any[],11,Null,M,ESRB
458,1,Any[],11,Null,M,ESRB
1183,1,Any[],11,Null,M,ESRB
1187,1,Any[],11,Mature 17+,M,ESRB
3278,1,Any[],10,Null,T,ESRB
2472,1,Null,8,Null,E,ESRB
7599,2,"Any[49, 49]",3,Null,Twelve,PEGI
1337,1,Null,8,Null,E,ESRB
73,1,Null,10,Null,T,ESRB
3097,1,Null,8,Null,E,ESRB
2935,1,Null,11,Null,M,ESRB
3186,1,Any[],11,Null,M,ESRB
19130,1,Null,10,Null,T,ESRB
3042,1,Null,8,Null,E,ESRB
2438,1,Any[],8,"This is a simulation game in which players attempt to unite a feudal Japan through various economic, diplomatic, and militaristic commands. Players oversee a grid-based map and can choose to send forces into battle, which is depicted by two sword icons that collide. Players can also send ninjas to eliminate rival warlords or burn down an enemy's land.",E,ESRB
836,1,Any[],10,Null,T,ESRB
424,1,Any[],11,None,M,ESRB
991,1,Null,9,Null,E10,ESRB
1269,1,Any[],8,Everyone,E,ESRB
327,1,Any[],11,"This is a puzzle adventure game in which players assume the role of Vincent, a man with relationship issues that are manifested in his dreams. The game transitions between animated cutscenes and puzzle stages (i.e., nightmares); in the nightmare world, players must help Vincent ascend crumbling towers by pushing, pulling, and climbing blocks to reach an exit. If players make the wrong move, they can be killed by spike traps and giant boss creatures (e.g., a demon bride, a chainsaw-wielding baby); death scenes are accompanied by exaggerated splashes of blood as Vincent is stabbed, crushed, shot, or bitten. During one cutscene, a character is stabbed in the stomach with a knife; a large pool of blood quickly forms under her body. In order to move faster in the puzzles stages, players can order Vincent alcoholic beverages (e.g., mixed cocktails, beer, sake, whiskey); after three drinks, he begins to stumble around when moving. These sequences are accompanied by voice-over narration: “It's said that chugging alcohol isn't good for you, but sometimes it's necessary” and “[T]ake a big swig of cognac!” Throughout the game, sex and sexuality are frequently referenced, sometimes while two characters are in bed together (e.g., “I finally became a man! Got rid of my V-card, BOOM,”“If the one you loved confessed to a sexual habit that you found absolutely unacceptable, what would you do?” and “After all you've done to my body . . . Night after night . . .”). One bedroom sequence pans across a man's legs, then to his curling toes; another scene briefly depicts a woman caressing her body while making suggestive comments (e.g., “I've got such a hunger for these feelings . . . I know you have some hungers as well, don't you?” ). The game also depicts the central character surrounded by topless female demons—though shadow effects obscure most details. The words “f**k” and “sh*t” can be heard in the dialogue.",M,ESRB
5025,1,Null,8,Null,E,ESRB
2933,1,Any[],10,Null,T,ESRB
1185,1,Any[],11,Null,M,ESRB
986,1,Any[],10,Null,T,ESRB
29004,2,Null,3,Null,Twelve,PEGI
9604,1,Null,9,Null,E10,ESRB
732,1,Null,8,Null,E,ESRB
7609,2,Null,1,Null,Three,PEGI
5503,1,Null,10,Null,T,ESRB
480,1,Any[],11,Null,M,ESRB
7313,2,"Any[49, 49]",3,"The content of this game is suitable for persons aged 12 years and over only.
It contains: Content that teaches or encourages gambling - Sexual images and/or sexual innuendo",Twelve,PEGI
2939,1,Any[],10,Null,T,ESRB
910,1,Any[],10,Null,T,ESRB
19459,1,Null,8,Null,E,ESRB
19470,2,Null,3,Null,Twelve,PEGI
7444,2,Any[49],1,Null,Three,PEGI
9254,1,Null,6,-,RP,ESRB
7348,1,Any[],8,Null,E,ESRB
7292,2,Any[49],3,Null,Twelve,PEGI
1029,1,Any[],11,Null,M,ESRB
1262,1,Any[],10,Null,T,ESRB
2155,1,Any[],8,Null,E,ESRB
7706,2,"Any[49, 49]",3,Null,Twelve,PEGI
19561,1,Null,10,Null,T,ESRB
2180,1,Any[],11,Null,M,ESRB
19562,1,Null,8,Null,E,ESRB
1068,1,Any[],10,"This is a racing simulation game in which players compete with real-world cars at the fictional Horizon Festival in Colorado. Players can race in various modes (e.g., Circuit, Street, Speed Stunt) to earn experience points and unlock new cars. During the course of the game, some of the dialogue references suggestive material (e.g., “[A]ll these young women, half naked, screaming from passing cars,” “Ramona is, apparently, 'good on dirt,'” and “Let me think. . . feed the cat. . . water the plant. . . spank the monkey. . .”). Some sequences reference illicit substances (e.g., “Clean-living boy Darius Flynt has apparently never taken recreational drugs,” “drug-fueled jerks,” and “All those kids . . . taking drugs, fornicating!”). The words “sh*t” and “a*shole” can also be heard in the dialogue",T,ESRB
13166,2,"Any[49, 49, 49]",5,Null,Eighteen,PEGI
837,1,Any[],10,Null,T,ESRB
343,1,Null,11,Null,M,ESRB
25076,1,Any[],10,"With his sister Kaori held hostage, Yuuto must fight as an Etranger, a warrior of power, and take up the sword to fight alongside the beautiful female Spirits who protect the land from an evil that threatens to consume it. ",T,ESRB
8173,2,Null,1,Null,Three,PEGI
647,1,Any[],10,Null,T,ESRB
1905,1,Null,8,Null,E,ESRB
890,1,Any[],10,Null,T,ESRB
866,1,Any[],11,Null,M,ESRB
9061,2,Null,1,Null,Three,PEGI
1026,1,Any[],11,Null,M,ESRB
498,1,Any[],9,"This is a role-playing game in which players assume the role of a hero who undertakes a series of quests in a fantasy world. Players can learn magic spells, explore dungeons, and battle various creatures in turn-based combat. Players select actions (e.g., ""attack,""""defend,"" and ""spells"") from a menu system as various light effects and numeric values indicate damage inflicted on both monsters and players. A couple of the enemies are depicted being impaled with their own weapons (e.g., a zombie-type enemy plucks a spear out his throat at the beginning of each battle); a ""Kamikazee"" spell sacrifices the caster's life to defeat all enemies. Some monsters are depicted with costumes stained in blood; for example, a ""Blood Mummy"" is wrapped in red-colored bandages, and another enemy's clothing is covered with red splotches. One of the boss enemies in the game performs a ""Puff puff"" attack in battle: During this attack animation, the character clutches her breasts and shakes her hips to charm enemies so they won't attack. During the course of the game, players need to deliver a keg of ""Drunken Dragon"" to a creature; other alcohol references sometimes appear in text (e.g., ""Hic! I don't have enough money for the old booze anymore.""). Players can give a ""cowpat"" or ""horse manure"" item to a freezing character, and a ""Snot Shot"" attack splatters a clear liquid at players, lowering their agility. Language such as ""hell"" and ""hellish"" appears in the dialogue.",E10,ESRB
1942,1,Null,8,Null,E,ESRB
1073,1,Null,8,Null,E,ESRB
948,1,Any[],10,Null,T,ESRB
6632,1,Any[],11,Null,M,ESRB
246,1,Any[],10,Null,T,ESRB
9927,2,Null,3,Null,Twelve,PEGI
1267,1,Null,6,Rating Pending,RP,ESRB
1305,1,Any[],11,Mature 17+,M,ESRB
355,1,Null,8,Null,E,ESRB
1030,1,Any[],11,Null,M,ESRB
981,1,Any[],10,Null,T,ESRB
1426,1,Any[],11,Null,M,ESRB
245,1,Any[],8,"This is a platformer game in which players team up with a ""blob"" sidekick, traverse through side-scrolling landscapes, and solve puzzles along the way. Enemy blobs appear as obstacles, but can be defeated with the aid of the sidekick. Coconuts can be tossed, anvils can be dropped, pits can be dug, and punches can be thrown to defeat the blobs. During one sequence, players can enter a mechanical contraption that allows them to punch, jump on, or crush enemies. Blobs burst apart with a ""squishing"" sound effect when defeated.",E,ESRB
1277,1,Any[],11,Mature 17+,M,ESRB
1039,1,Any[],11,Null,M,ESRB
14,1,Any[],11,Null,M,ESRB
7342,1,Null,8,Null,E,ESRB
247,1,Any[],11,"This is a horror-adventure game in which players assume the role of a man attempting to recover from self-induced amnesia. From a first-person perspective, players navigate castle environments, solve puzzles, and avoid zombie-like creatures. When players are attacked, splashes of blood appear on-screen; large bloodstains and pools of blood are also visible in some areas. Players can encounter human corpses lying on the ground: some are nude with visible male genitalia, while others are decapitated or dismembered (e.g., bloody torsos, severed arms). The word ""sh*t"" appears in the dialogue.",M,ESRB
18099,2,Null,3,Null,Twelve,PEGI
6707,1,Null,10,Null,T,ESRB
1079,1,Null,8,Null,E,ESRB
1377,1,Any[],11,Null,M,ESRB
72,1,Any[],10,Null,T,ESRB
307,1,Any[],11,"This is a first-person shooter in which players assume the role of Duke Nukem, an action hero who must save Earth from invading aliens. Players use pistols, rail guns, shotguns, explosives, and Duke's bare hands to attack and kill the alien enemies. The majority of gameplay involves destroying these enemies in frenetic gun and laser battles in order to move on to the next section. Aliens are often decapitated or dismembered when hit, sending large splashes of blood across the ground, surrounding walls, and players' screen. Some sequences depict more ""over-the-top"" instances of violence: aliens getting stabbed in the head or impaled; a human soldier bursting into bloody gibs after being tossed through propeller blades. In one sequence, players have the ability to shoot human characters that are trapped in pod-like alien webbing; bodies explode into pieces upon impact. During the course of the game, players enter a strip-club level and view several topless dancers and receive lap dances. A couple of missions within this level require players to recover sex toys and pictures of topless women. A few sequences strongly imply sexual acts: two women appear to perform fellatio on the central character (e.g., raising their heads from his lap)—though there is no actual depiction of the sex act; Duke moans and leans up against the wall of a bathroom stall (furnished with a hole)—it is implied that a sex act (not depicted) occurs. The game also contains several sexual references and innuendo in the dialogue (e.g., ""I have hungry—you have big egg ro' for me, Duke,""""If you supply the dancing, I'll supply the pole,"" and ""I'll need something naughty to play with.""). Duke's comments range from jokes about colon cleansing to several one-liners about sex and female body parts. Bathroom humor includes the ability to urinate in toilets or urinals and/or pick up feces from toilets and throw it against walls. Players can use both steroid pills and beer as power-ups; when beer is consumed, the screen temporarily blurs. The words ""f**k,""""sh*t,""""c*ck,"" and ""a*shole"" appear in dialogue and on-screen text.",M,ESRB
5328,2,Null,4,Null,Sixteen,PEGI
538,1,Any[],9,Null,E10,ESRB
539,1,Any[],9,Null,E10,ESRB
12571,1,Any[],8,-,E,ESRB
4754,1,Any[],8,Null,E,ESRB
4756,1,Null,8,Null,E,ESRB
8197,1,Null,8,Null,E,ESRB
1513,1,Null,8,Null,E,ESRB
6036,2,Any[49],4,"The content of this game is suitable for persons aged 16 years and over only.
It contains: Realistic looking violence -",Sixteen,PEGI
9174,1,Null,8,Null,E,ESRB
25657,2,Null,1,Null,Three,PEGI
2985,1,Any[],10,Null,T,ESRB
125,1,Any[],11,Null,M,ESRB
517,1,Any[],10,"In this third-person shooter, players assume the role of a writer named Alan Wake who searches for his missing wife in a mysterious lakeside town. Players explore the town and surrounding woods, interact with characters, solve puzzles, and gather clues along the way. Players must battle humanoid enemies known as the ""Taken"" by using various light sources (flashlights, floodlights, ""flahsbang"" grenades); they can also use pistols and shotguns to kill the enemies. The Taken react to damage by disappearing in a flash of embers and shadows. Cutscenes also depict the Taken wielding axes and killing characters off-screen. In one sequence, a long blood trail can be seen leading up to a wounded character in a cabin. Some characters smoke cigarettes or reference alcohol and hangovers; one cutscene depicts two drunken characters slurring their speech while conversing (e.g., ""I feel like my brain is coming out of my nose. I'm gonna get the recipe off those kooks and be a, a, a booze millionaire!.""). Language such as ""sh*t,""""a*shole,"" and ""b*tch"" can be heard in the dialogue.",T,ESRB
113,1,Null,10,Null,T,ESRB
7331,1,Any[],11,Null,M,ESRB
731,1,Null,8,Null,E,ESRB
8254,1,Any[],9,Null,E10,ESRB
1036,1,Any[],11,Null,M,ESRB
361,1,Any[],10,Null,T,ESRB
8965,2,Null,1,Null,Three,PEGI
338,1,Any[],9,Null,E10,ESRB
9498,1,Any[],10,Null,T,ESRB
625,1,Any[],10,Null,T,ESRB
7344,1,Any[],8,Null,E,ESRB
26192,2,Null,2,Null,Seven,PEGI
26196,1,Null,8,Null,E,ESRB
478,1,Any[],10,Null,T,ESRB
11790,2,"Any[49, 49, 49]",3,"The content of this game is suitable for persons aged 12 years and over only.
It contains: Realistic looking violence towards non human looking characters - Non realistic looking violence towards human characters - Mild bad language
This game allows the player to interact with other players ONLINE",Twelve,PEGI
1009,1,Any[],10,Null,T,ESRB
7603,1,Any[],8,Null,E,ESRB
11198,1,Null,10,Null,T,ESRB
891,1,Any[],8,Null,E,ESRB
1628,1,Any[],9,Null,E10,ESRB
1981,1,Any[],10,Null,T,ESRB
2993,1,Null,8,Null,E,ESRB
9806,1,Any[],10,Null,T,ESRB
9727,1,Any[],10,Null,T,ESRB
11208,1,Null,8,Everyone can play,E,ESRB
19441,2,Null,4,Null,Sixteen,PEGI
19457,1,Null,10,Null,T,ESRB
12517,2,Any[49],2,"The content of this game is suitable for persons aged 7 years and over only.
It contains: Non realistic looking violence towards fantasy characters - Non realistic looking violence towards characters which although human are not very detailed",Seven,PEGI
241,1,Any[],11,Null,M,ESRB
26758,1,Any[],9,Null,E10,ESRB
26761,2,Any[49],4,Null,Sixteen,PEGI
26764,2,Null,4,Null,Sixteen,PEGI
1802,1,Null,8,Null,E,ESRB
1559,1,Null,8,Null,E,ESRB
5,1,Any[],11,"<P>Fallout 3  is a action role-playing game set in the barren wasteland of a post-apocalyptic society. Players assume the role of a resident of an underground complex who emerges from a vault to explore a wastleland universe through a series of quests/missions. Mission objectives sometimes involve exploring various caves, sewers, and subway tunnels, while other quests involve combat with human and mutant survivors. Fighting can be frenetic and intense, highlighted by various camera effects (e.g., slow motion, blurring, screen shakes) and depictions of realistic dismemberment with trails of red blood. In one scene, players enter a black-and-white virtual reality simulation in which they use a kitchen knife to kill household members and pets. Characters are sometimes seen consuming fictional drugs (e.g., ""Buffout,"" ""Jet,"" and ""Mentats""), while the player can also use – with no visual depiction of consuming/administering – a narcotic called ""psycho,"" which with repeated uses leads to addiction. A screen-blurring effect indicates the state of characters' intoxication and the need to use the narcotic to fend off various side effects. Several of the characters are prostitutes and the details of their sexual activities are mildly insinuated (e.g., ""You got the cash I got the time…I take care of men around here.""). Strong profanity can also be heard throughout the game (e.g., ""f*ck,"" ""a*shole,"" and ""sh*t"").</P>",M,ESRB
3152,1,Any[],10,Null,T,ESRB
3349,1,Any[],10,Null,T,ESRB
26855,1,Null,8,Null,E,ESRB
7386,2,"Any[49, 49]",3,Null,Twelve,PEGI
11161,2,"Any[49, 49]",2,"The content of this game is suitable for persons aged 7 years and over only.
It contains: Non realistic looking violence towards fantasy characters - - Pictures or sounds likely to be scary to young children",Seven,PEGI
6739,2,Null,1,Null,Three,PEGI
14593,1,Null,8,Null,E,ESRB
979,1,Any[],9,"Ben 10: Alien Force  is an action adventure game in which players assume the role of various characters from the animated TV series of the same name. Players traverse the environment and battle evil alien forces and bosses (e.g., creatures, humanoids, and robots) in constant hand-to-hand combat. Certain abilities enable players to use fire attacks, shoot laser beams, and freeze aliens on ice.",E10,ESRB
14587,1,Null,8,Null,E,ESRB
434,1,Any[],11,Null,M,ESRB
551,1,Null,10,Null,T,ESRB
9730,1,Null,8,Null,E,ESRB
545,1,Any[],11,"This is a first-person shooter in which players assume the role of elite commandos on a mission to reclaim a mining rig from hostile aliens. Players use a variety of weapons (e.g., shotguns, automatic rifles, grenade launchers, energy blasters) and melee attacks to kill alien enemies in frenetic combat; battles are highlighted by cries of pain, realistic gunfire, and large explosions. Red blood effects appear on screen as players' character takes damage, and injured enemies emit exaggerated splashes of fluorescent blood; dead bodies incur additional damage when shot. A variety of sequences also depict dead humans lying in pools of blood. The words “f**k” and “sh*t” can be heard in the dialogue.",M,ESRB
819,1,Any[],11,"This is a first-person shooter in which players join a group of survivors continuing their battle against a zombie infestation around tropical island locations. Players use knives, axes, shotguns, machine guns, and rifles to kill dozens of zombies (as well as occasional human enemies) that attack in waves. Combat is intensified by screams of pain, realistic gunfire, and slow-motion camera effects. Large blood-splatter effects occur during battle; several scenes depict zombie dismemberment/decapitation. During the course of the game, one mission requires players to retrieve drugs for a character; when the player gives the drugs to the character, snorting sounds can be heard. The words “f**k,”“sh*t,” and “a*shole” appear in the dialogue.",M,ESRB
9602,1,Any[],10,Null,T,ESRB
8187,1,Any[],10,Null,T,ESRB
12503,1,Any[],10,Null,T,ESRB
520,1,Any[],10,Null,T,ESRB
11170,1,Any[],11,Null,M,ESRB
530,1,Any[],10,Null,T,ESRB
1627,1,Any[],8,Null,E,ESRB
1557,1,Null,8,Null,E,ESRB
378,1,Any[],10,Null,T,ESRB
2963,1,Null,8,Null,E,ESRB
2899,1,Null,8,Null,E,ESRB
2909,1,Any[],10,Null,T,ESRB
2129,1,Any[],10,Null,T,ESRB
7351,2,Any[49],5,"The content of this game is suitable for persons aged 18 years and over only.
It contains: Sexual violence",Eighteen,PEGI
1164,1,Any[],8,Null,E,ESRB
9192,1,Any[],10,"This is a massively-multiplayer online (MMO)/first-person shooter set in a futuristic world. Players attempt to capture bases and gain resources while preventing opposing players from doing the same. Players use a variety of firearms and futuristic weapons (e.g., rocket/plasma launchers, machine guns, flamethrowers, grenade launchers, etc.) to target and kill rival team members around open landscape environments. Players can also use vehicles to run over opponents, or use the tanks, hovercraft, and planes to blow up enemy bases. Action is highlighted by frequent explosions. Headshots are rewarded and remarked upon via on-screen text.",T,ESRB
544,1,Any[],11,"This is a first-person shooter in which players assume the role of elite commandos on a mission to reclaim a mining rig from hostile aliens. Players use a variety of weapons (e.g., shotguns, automatic rifles, grenade launchers, energy blasters) and melee attacks to kill alien enemies in frenetic combat; battles are highlighted by cries of pain, realistic gunfire, and large explosions. Red blood effects appear on screen as players' character takes damage, and injured enemies emit exaggerated splashes of fluorescent blood; dead bodies incur additional damage when shot. A variety of sequences also depict dead humans lying in pools of blood. The words “f**k” and “sh*t” can be heard in the dialogue.",M,ESRB
1906,1,Null,8,Null,E,ESRB
2001,1,Any[],8,Null,E,ESRB
1928,1,Null,8,Null,E,ESRB
17000,2,Null,1,Null,Three,PEGI
18320,1,Null,8,Null,E,ESRB
118,1,Null,6,Null,RP,ESRB
352,1,Null,8,Null,E,ESRB
1918,1,Null,8,Null,E,ESRB
1911,1,Null,8,Null,E,ESRB
76,1,Any[],11,Null,M,ESRB
19539,1,Null,8,Null,E,ESRB
19531,2,Null,2,Null,Seven,PEGI
136,1,Any[],8,Null,E,ESRB
621,1,Any[],9,Null,E10,ESRB
5508,2,Null,1,Null,Three,PEGI
1156,1,Any[],10,Null,T,ESRB
2368,1,Any[],10,Null,T,ESRB
193,1,Any[],8,Null,E,ESRB
