id,change_date_category,country,created_at,description,developed,logo,name,slug,start_date,start_date_category,updated_at,url,websites,checksum
2262,7,840,1391817600,"Nippon Ichi Software was founded in September 1991 in Gifu Prefecture, Japan, as an entertainment software company. It was relocated and reincorporated on July 12, 1993. Since then Nippon Ichi Software, Inc. has grown into an international company focused on creating video game products across modern console platforms. NIS America, Inc. subsidiary of Nippon Ichi Software, Inc. of Japan, established its North American operations on December 24, 2003. Based in Santa Ana, California, NIS America, Inc. handles operations including localization, marketing, and publishing of Nippon Ichi titles. The first game to be released in North America by NIS America was Phantom Brave.

NIS America was the result of the company's wish to focus on international publication of their works in the U.S., given the increased popularity of their titles. Prior to the creation of this subsidiary, NIS software titles that appeared in the U.S. were localized and distributed by outside publishers. Notable examples would be Disgaea: Hour of Darkness, published in North America by Atlus and in Europe by Koei, La Pucelle, published in North America by Mastiff Inc, and Rhapsody: A Musical Adventure which was also published in North America by Atlus. The publisher has become a somewhat of a well-known presence in the North American market, having won RPGLand's ""Stateside Publisher of the Year Award"" in 2009.",Any[15284],457,NIS America,nis-america,1072224000,0,1588636800,https://www.igdb.com/companies/nis-america,Any[1355],4ca4e39f-9f4f-609c-18dc-248f59b00353
250,0,392,1302307200,"Square Co., Ltd. (株式会社スクウェア Kabushiki-gaisha Sukuwea) was a Japanese video game company founded in September 1986 by Masafumi Miyamoto. It merged with Enix in 2003 and became Square Enix. The company also used SquareSoft as a brand name to refer to their games, and the term is occasionally used to refer to the company itself. In addition, ""Squaresoft, Inc"" was the name of the company's American arm before the merger, after which it was renamed to ""Square Enix, Inc"".","Any[385, 387, 393, 396, 399, 403, 406, 407, 410, 411, 413, 414, 417, 418, 419, 420, 423, 427, 428, 1346, 1360, 1498, 1500, 1501, 1802, 1803, 1804, 1810, 2216, 2353, 2734, 2981, 3216, 5418, 7357, 8359, 11227, 11310, 11311, 11312, 11313, 11314, 14986, 15835, 15838, 15843, 16474, 16587, 20283, 22894, 22895, 22899, 28402, 36811, 38105, 41723, 41835, 42258, 49559, 76182, 79447, 121688, 121717, 134463]",1484,Square,square,431222400,0,1584489600,https://www.igdb.com/companies/square,Null,da57c1dc-7a6c-d7b7-a1a5-19b9a2018e96
25048,7,Null,1587513600,Null,"Any[70463, 79890]",Null,EA,ea,Null,7,1587513600,https://www.igdb.com/companies/ea,Null,bda20855-e118-ce4c-0f77-4faaba0fc706
1053,0,392,1372377600,Null,"Any[2252, 2253, 2254, 2572, 2574, 4702, 4835, 4939, 6407, 6408, 9688, 18600, 19310, 19311, 21891, 22300, 28767, 81473]",270,Spike,spike,687744000,0,1571270400,https://www.igdb.com/companies/spike,Null,f9a55722-d86d-934e-09d4-c7facd9c978a
4122,7,Null,1415923200,Null,Null,Null,DR Korea,dr-korea,Null,7,1415923200,https://www.igdb.com/companies/dr-korea,Null,8ae52f8f-99be-cf0b-13b8-26b3faadd81d
4121,7,Null,1415923200,Null,Null,Null,Tandy,tandy,Null,7,1546041600,https://www.igdb.com/companies/tandy,Null,ce24b445-57dc-5608-e83a-507734de1f27
10392,7,Null,1469059200,Null,Null,Null,Deported B.V.,deported-bv,Null,7,1469059200,https://www.igdb.com/companies/deported-bv,Null,a1327d1f-bc50-c4fc-f6cd-df85629ee7a6
4120,7,Null,1415923200,Null,Null,Null,AcademySoft,academysoft,Null,7,1516579200,https://www.igdb.com/companies/academysoft,Null,63fe5560-97ca-e1a5-29d2-fbc536e82aec
244,0,Null,1302220800,Null,Null,Null,Edusoft,edusoft,Null,0,1382400000,https://www.igdb.com/companies/edusoft,Null,7ba534d9-3db7-d020-0ca5-27444e8fcaf5
344,0,Null,1303171200,Null,Null,Null,Macmillan Digital Publishing USA,macmillan-digital-publishing-usa,Null,0,1323216000,https://www.igdb.com/companies/macmillan-digital-publishing-usa,Null,f92cfa27-7284-79ab-caff-34c58f6c68fd
228,0,Null,1302220800,Null,Null,Null,FormGen,formgen,Null,0,1458777600,https://www.igdb.com/companies/formgen,Null,a331397d-e797-73b5-076c-0c38c6a759dc
147,0,Null,1301270400,Null,Any[3648],Null,Vivendi Universal,vivendi-universal,Null,0,1573603200,https://www.igdb.com/companies/vivendi-universal,Null,30a78a47-a9fa-2715-a0b3-2075395ce9ad
238,0,Null,1302220800,Null,Any[3685],Null,Typhoon Games,typhoon-games,Null,0,1557878400,https://www.igdb.com/companies/typhoon-games,Null,619c8e76-e863-b7ef-ea09-f1ae557b789d
361,7,56,1303430400,Null,"Any[669, 12464]",Null,Hyperion Entertainment,hyperion-entertainment,Null,7,1568505600,https://www.igdb.com/companies/hyperion-entertainment,Any[2536],0b0fdc1b-ad39-ff71-5f23-dbc8afa053b4
4796,7,840,1423699200,"StudioMDHR (Studio Moldenhauer) is an independent video game company founded by two brothers: Chad &amp; Jared Moldenhauer.
Based in Oakville, ON / Regina, SK","Any[9061, 103287]",906,Studio MDHR,studio-mdhr,Null,7,1562112000,https://www.igdb.com/companies/studio-mdhr,Any[173],8ca1d68d-cb97-8572-66b5-5756f5fe3313
152,7,840,1301270400,Null,"Any[24, 25, 27, 254, 634, 685, 727, 728, 902, 962, 963, 2214, 2374, 2455, 2487, 8680, 8787, 8826, 9218, 9322, 9711, 10292, 11891, 11928, 12129, 12167, 14463, 19528, 19529, 46593, 84216, 115032]",344,MicroProse,microprose,410140800,2,1588464000,https://www.igdb.com/companies/microprose,Any[572],fc62622b-16d2-313a-a2c7-eda7d97eca73
56,7,840,1300060800,"Valve's debut title, Half-Life, was released in 1998. It won more than 50 game of the year awards, and PC Gamer even called it the Best PC Game Ever. Since then, we've released dozens of titles that changed the world. Today, millions of people play our games every day.","Any[71, 72, 122, 124, 231, 233, 241, 247, 297, 307, 338, 339, 891, 1372, 2963, 2997, 3267, 6359, 6738, 6744, 7551, 7589, 7598, 9073, 9471, 10395, 13950, 16957, 19348, 21798, 22890, 28029, 33308, 50095, 54572, 55025, 86654, 93807, 114140, 119416, 126098, 127835, 127906, 132989]",3218,Valve Corporation,valve-corporation,840844800,0,1588118400,https://www.igdb.com/companies/valve-corporation,"Any[458, 3433]",fd58dd96-4167-536f-d5ef-4435ee65ea31
651,0,Null,1319155200,Null,"Any[880, 966]",Null,Sourcenext,sourcenext,Null,0,1415404800,https://www.igdb.com/companies/sourcenext,Null,63e9e6ad-a0ef-e688-b0f0-fc92b7bd32c3
612,0,Null,1317686400,Null,Null,Null,Brighter Minds,brighter-minds,Null,0,1485302400,https://www.igdb.com/companies/brighter-minds,Null,85b69d41-7f84-8cec-c169-e4b8c131d5a3
707,0,Null,1321401600,Null,Null,Null,ChinaAVG,chinaavg,Null,0,1323216000,https://www.igdb.com/companies/chinaavg,Null,5201887f-847c-3bed-3ea8-6cba63e368fa
719,0,Null,1321660800,Null,Null,Null,Infogrames North America,infogrames-north-america,Null,0,1553817600,https://www.igdb.com/companies/infogrames-north-america,Null,79bbf904-24a7-5b78-c3cf-f1890ae58d5f
756,0,Null,1339372800,Null,"Any[62557, 62558]",Null,E-Frontier,e-frontier,Null,0,1563321600,https://www.igdb.com/companies/e-frontier,Null,8ed041e4-4206-f5c8-c023-f6b8c9f0f525
755,0,Null,1339372800,Null,Any[9709],Null,Namco Bandai Partners,namco-bandai-partners,Null,0,1430265600,https://www.igdb.com/companies/namco-bandai-partners,Null,1b9b7089-6ae7-9705-0e45-65f54efc019b
798,0,Null,1344297600,Null,Null,Null,Ubisoft Australia,ubisoft-australia,Null,0,1555718400,https://www.igdb.com/companies/ubisoft-australia,Null,411f2db9-3d3d-e472-93c9-37e929dcf6b9
1057,0,Null,1372377600,Null,Null,Null,Egmont Interactive,egmont-interactive,Null,0,1462492800,https://www.igdb.com/companies/egmont-interactive,Null,0d4beb6a-03f7-86d7-6279-21cc71487cab
1494,0,Null,1384300800,Null,Null,Null,GOA Games Services Ltd.,goa-games-services-ltd,Null,0,1384387200,https://www.igdb.com/companies/goa-games-services-ltd,Null,6533f806-71ea-cc29-d87e-1696424ac9a1
42,0,Null,1300060800,Null,Null,Null,Tencent Holdings Ltd,tencent-holdings-ltd,Null,0,1467763200,https://www.igdb.com/companies/tencent-holdings-ltd,Null,3e7e7af5-4369-18e0-9e62-a13da20153e1
703,0,Null,1321401600,Null,Null,Null,BMG Interactive,bmg-interactive,Null,0,1575590400,https://www.igdb.com/companies/bmg-interactive,Null,b3ec7398-683c-fbd7-5b06-41674f852c50
704,0,Null,1321401600,Null,Any[34707],Null,ASC Games,asc-games,Null,0,1558828800,https://www.igdb.com/companies/asc-games,Null,d008f98a-45a9-d542-a7c5-6af0c8cb3cce
1335,0,Null,1375142400,Null,Any[2853],Null,Number None Inc.,number-none-inc,Null,0,1514678400,https://www.igdb.com/companies/number-none-inc,Null,93808d43-5a2e-45c1-a360-92821ffd4dab
789,0,Null,1341619200,Null,"Any[3006, 3884, 49404]",Null,Buena Vista Games,buena-vista-games,Null,0,1578441600,https://www.igdb.com/companies/buena-vista-games,Null,41499377-2836-93d1-6e40-74a0e7628eaf
305,7,246,1302652800,"Remedy Entertainment Ltd. is a privately held developer of state-of-the-art action games, game franchises and cutting edge technology. Remedy is based in Espoo, Finland. Highly acclaimed games include Death Rally, Max Payne, Max Payne 2: The Fall of Max Payne, Alan Wake and Alan Wake's American Nightmare.","Any[18, 19, 665, 1062, 2602, 3750, 20316, 20317, 24085, 35552, 47474, 103329, 103387, 118510, 122312, 122313, 122314, 136604]",63,Remedy Entertainment,remedy-entertainment,820368000,2,1599868800,https://www.igdb.com/companies/remedy-entertainment,Any[1118],ab5b95b2-034b-7888-6c29-6007d9eced74
2034,0,Null,1390521600,Null,Null,Null,XS Games,xs-games,Null,0,1414800000,https://www.igdb.com/companies/xs-games,Null,ea6afecf-7664-d57c-f73f-7aa802bb8d77
2493,0,Null,1395273600,Null,Null,Null,1C/Cenega,1c-cenega,Null,0,1490572800,https://www.igdb.com/companies/1c-cenega,Null,4c8ff8a9-248f-8bc9-3922-e4db299b75cd
2241,0,Null,1391731200,Null,Any[5030],Null,W!Games,w-games,Null,0,1483574400,https://www.igdb.com/companies/w-games,Null,9ca11df5-55f7-7815-006d-17d6b6ab43d1
10100,7,392,1465862400,"Formerly: Sony Computer Entertainment
Formerly: Sony Network Entertainment","Any[3762, 6065, 26232, 26234, 86213, 93498, 118197, 119585]",883,Sony Interactive Entertainment,sony-interactive-entertainment,753408000,0,1588032000,https://www.igdb.com/companies/sony-interactive-entertainment,Any[1029],678f5b2c-5f2c-0916-b636-7b973aa11bea
2488,7,840,1395100800,"""Atlus USA was founded in Southern Calfornia in 1991 as Asuka, an American branch of then ATLUS Co., Ltd., with the stated mission of publishing high quality video games for North America. High quality localization of these titles became the most important facet of this mission statement, and the company gained a following within the gaming industry for its excellent translations and ability to ""speak"" to the audience in the North American market.

First recognized for its bold, visionary roleplaying games-most notably the highly acclaimed Shin Megami Tensei franchise (which includes such classics as Nocturne, Persona 4, and Digital Devil Saga 1 &amp; 2), ATLUS also experienced success in other genres, like the medical action of the Trauma Center series and the family-friendly fun of the 101-in-1 Megamix games.""",Any[16823],723,Atlus USA,atlus-usa,694137600,2,1575244800,https://www.igdb.com/companies/atlus-usa,Any[1041],599b0544-67dc-650b-8176-2327cccab78f
2548,0,Null,1396310400,Null,"Any[890, 27589]",Null,DreamCatcher Games,dreamcatcher-games,Null,0,1570406400,https://www.igdb.com/companies/dreamcatcher-games,Null,2d2b2412-4bdc-c3d6-ca77-7d2dab5f08d3
3906,7,250,1414454400,Null,"Any[890, 7921, 9093, 9734, 9790, 13163, 53101, 122096, 122098]",328,Anuman Interactive,anuman-interactive,978220800,2,1590710400,https://www.igdb.com/companies/anuman-interactive,Any[700],eadfd968-edcf-c82a-e84d-eebd5aabb5e4
2417,0,Null,1393200000,Null,Null,Null,Tapwave,tapwave,Null,0,1415836800,https://www.igdb.com/companies/tapwave,Null,a2c8ab66-f88c-af1e-e811-d17a3746b710
1013,7,124,1371945600,Null,Any[1991],Null,Polytron Corporation,polytron-corporation,Null,7,1590019200,https://www.igdb.com/companies/polytron-corporation,Any[3738],42475872-d4b3-64aa-d278-f3e28e0775e7
2673,7,Null,1397433600,Null,Null,Null,Mediaquest,mediaquest,Null,7,1435276800,https://www.igdb.com/companies/mediaquest,Null,4f3196f3-5a5e-12c0-140a-7255f7abbb5f
2898,7,Null,1399507200,Null,Any[6739],Null,Crowbar Collective,crowbar-collective,Null,7,1523750400,https://www.igdb.com/companies/crowbar-collective,Null,9d0021b2-e1a5-5794-46a2-9795eb824534
58,7,752,1300060800,"Mojang Studios is a Swedish video game developer and a studio of Xbox Game Studios based in Stockholm. The studio was founded by Markus Persson in 2009 as Mojang Specifications, inheriting the name from a venture of the same name he left two years prior.","Any[121, 1898, 2600, 8339, 18977, 46745, 94049, 110474, 118499, 118711, 129496, 135400]",3520,Mojang Studios,mojang-studios,1241136000,0,1589846400,https://www.igdb.com/companies/mojang-studios,Any[987],e2186cd2-9929-f959-d2af-34c88cd75e01
14035,7,840,1513382400,"""Private Division is a developer-focused publisher that empowers independent studios to develop the games that they are passionate about creating, while providing the support that they need to make their titles critically and commercially successful on a global scale.""",Null,1478,Private Division,private-division,1513209600,0,1580428800,https://www.igdb.com/companies/private-division,Any[1151],5b76364b-ff3e-5856-8001-0f740a46565c
3119,0,616,1406332800,Null,Null,3082,cdp.pl,cdp-pl,788832000,2,1566950400,https://www.igdb.com/companies/cdp-pl,Null,d0e132f5-c9e7-609a-bd72-b6927faeb698
4672,7,Null,1421884800,Null,"Any[2132, 7789, 8738, 11742, 13177, 14542, 18671, 26364, 36846, 92635]",3096,Edmund McMillen,edmund-mcmillen,Null,7,1569196800,https://www.igdb.com/companies/edmund-mcmillen,Null,532b7b3d-45c9-950c-7e3a-4781a25dc82c
9,2,840,1298937600,"Lucasfilm Games was founded in May 1982 by George Lucas as Lucasfilm Games, the video game development group of his film company, Lucasfilm. Lucas initially served as the company's chairman. 
 
During a 1990 reorganization of Lucas companies, the Lucasfilm Games division was renamed LucasArts.","Any[60, 106, 176, 178, 179, 182, 186, 191, 192, 197, 198, 199, 200, 201, 204, 205, 208, 2280, 7517, 12594, 12950, 26005, 28717, 68835]",226,Lucasfilm Games,lucasfilm-games,389059200,0,1570579200,https://www.igdb.com/companies/lucasfilm-games,Any[614],995b40eb-780b-0918-ace3-16b721fe63ac
12298,7,Null,1489017600,Null,Any[5601],2104,"Thekla, Inc",thekla-inc,Null,7,1554422400,https://www.igdb.com/companies/thekla-inc,Any[2182],6b8ff137-9fd3-bb62-aeb3-b7e65f088292
4113,7,Null,1415836800,Null,Null,Null,Art Data Interactive,art-data-interactive,Null,7,1415836800,https://www.igdb.com/companies/art-data-interactive,Null,a92d0259-32cc-e559-94c8-d427f58197e0
4112,7,Null,1415836800,Null,Null,Null,Soft Bank,soft-bank,Null,7,1415836800,https://www.igdb.com/companies/soft-bank,Null,c5cb2992-77bb-3d48-2a5a-03e634930afa
4132,7,Null,1415923200,Null,"Any[2380, 9274]",Null,icculus.org,icculus-dot-org,Null,7,1514678400,https://www.igdb.com/companies/icculus-dot-org,Null,4ecd7612-6d22-c436-f88a-197f1bac0cc0
4114,7,Null,1415836800,Null,Null,Null,Bashou House,bashou-house,Null,7,1415836800,https://www.igdb.com/companies/bashou-house,Null,fd825689-4dd5-01ef-b7ac-451959891c0b
4107,7,Null,1415750400,Null,Null,Null,SCE Australia,sce-australia,Null,7,1449792000,https://www.igdb.com/companies/sce-australia,Null,a14b118d-2f20-543e-500d-104fa2f6c585
4090,7,Null,1415404800,Null,Null,Null,Havas Interactive,havas-interactive,Null,7,1415404800,https://www.igdb.com/companies/havas-interactive,Null,2fbddcf9-ab34-b2da-dd99-ac467710348c
3989,7,Null,1414800000,Null,Null,Null,Playcast-media,playcast-media,Null,7,1480464000,https://www.igdb.com/companies/playcast-media,Null,ebbb9ef3-8584-a9bc-133a-93b359ed37fb
6545,7,840,1442016000,"Creator of UNDERTALE.

Composes music for Homestuck.","Any[12517, 80950, 111563]",550,tobyfox,tobyfox,1372032000,0,1562112000,https://www.igdb.com/companies/tobyfox,Any[279],f76e2ea5-831f-8b56-4bcd-e89b1c4d927e
445,7,840,1317686400,"505 Games is a global video game publisher focused on offering a broad selection of titles for players of all ages and levels. The company publishes and distributes premium and free-to-play games on leading console, PC and handheld platforms as well as for mobile devices and social networks. 505 Games has offices in California, United Kingdom, France, Germany, Italy, Spain and China.","Any[4875, 122469]",445,505 Games,505-games,1167523200,2,1586390400,https://www.igdb.com/companies/505-games,Any[266],e7eca5be-15fb-c318-3358-ceb9d6a6b6f7
252,0,Null,1302307200,Null,"Any[19423, 22896]",Null,Square Electronic Arts,square-electronic-arts,Null,0,1584489600,https://www.igdb.com/companies/square-electronic-arts,Null,26abe098-a538-8997-4536-abaecb2c2da4
1044,2,840,1372291200,Null,"Any[2228, 8197, 12102, 15330, 20129, 20474, 46195]",702,"Spectrum HoloByte, Inc.",spectrum-holobyte-inc--1,441676800,2,1579564800,https://www.igdb.com/companies/spectrum-holobyte-inc--1,Null,9d8e7d32-58e2-9215-feda-16cad6944cde
591,7,840,1317686400,Null,"Any[885, 8042, 44129]",1513,Team Meat,team-meat,1230681600,2,1569715200,https://www.igdb.com/companies/team-meat,Any[35],7d59f5c4-58bc-f954-619a-0609b1684a3d
132,7,840,1301270400,Null,"Any[4744, 5197, 5277, 5779]",155,Destineer,destineer,946684800,0,1571270400,https://www.igdb.com/companies/destineer,Null,7c400461-52a6-1f49-1c18-c5724fc05a60
341,0,Null,1303171200,Null,"Any[6099, 25861, 66791, 78699, 122711]",Null,Bullet-Proof Software,bullet-proof-software,Null,0,1570060800,https://www.igdb.com/companies/bullet-proof-software,Null,30f05613-d252-80e0-a8af-d68a46836754
1464,7,484,1383091200,Null,"Any[3102, 78154]",309,Squad,squad,1262217600,2,1513382400,https://www.igdb.com/companies/squad,Any[62],101401d8-de95-450c-4ee7-378bd171f5c4
4119,2,826,1415923200,Founded by Jim Mackonochie and Robert Maxwell. Bought by Acclaim Entertainment in 1992 and renamed to Arena Entertainment,Any[36586],Null,Mirrorsoft,mirrorsoft,410140800,2,1578528000,https://www.igdb.com/companies/mirrorsoft,Null,584f2719-776e-6a32-1104-75b9086e6582
