"Rank","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"92","Avalanche","AVAX","103060053","4.21","24500000","4815762","0.26","1.69","3.24"
"93","Reserve Rights","RSR","102870793","0.011002","9349999000","33365635","-0.62","12.40","20.64"
"94","Golem","GNT","97518150","0.098437","990670000","2694944","5.38","4.78","2.12"
"95","Bitcoin Diamond","BCD","96799976","0.519054","186492898","1850496","0.09","0.09","-4.78"
"96","Solana","SOL","95839249","2.20","43522638","5422453","0.04","-0.65","-9.64"
"97","Swipe","SXP","93726939","1.22","76766934","35517198","0.35","0.84","-7.22"
"98","Balancer","BAL","93427095","13.45","6943831","28902584","-0.92","0.08","-9.21"
"99","Ravencoin","RVN","93166460","0.012831","7261150000","4141662","0.11","0.55","-7.74"
"100","Numeraire","NMR","93241370","28.52","3268767","2731174","-0.27","0.51","-2.18"
"101","Orchid","OXT","90360137","0.245822","367584352","2873218","-0.23","1.06","-8.44"
"102","SushiSwap","SUSHI","89909342","0.686559","130956547","24648701","0.37","3.04","-9.46"
"103","Nervos Network","CKB","89733788","0.004259","21068582216","9829748","0.71","-1.10","-10.38"
"104","DxChain Token","DX","88489390","0.001770","50000000000","75633","1.70","-5.24","-13.07"
"105","Bytom","BTM","85208633","0.061722","1380514357","15272911","-0.48","-0.31","-6.61"
"106","Storj","STORJ","85631263","0.431065","198650514","17038216","0.13","-2.26","-30.33"
"107","THORChain","RUNE","84624443","0.534137","158432088","2762951","1.90","3.38","-2.16"
"108","IOST","IOST","83811776","0.005507","15218058613","18979512","-0.43","-0.70","-7.67"
"109","Status","SNT","81610908","0.023516","3470483788","3866411","-0.41","-0.23","-9.15"
"110","Holo","HOT","81376755","0.000489","166475121691","3376874","0.25","2.34","-4.71"
"111","MonaCoin","MONA","81090714","1.23","65729675","356437","0.10","0.53","-1.02"
"112","Nexo","NEXO","80183533","0.143185","560000011","5859745","0.58","5.64","9.32"
"113","Bancor","BNT","79114773","1.14","69148529","51711813","-0.15","3.56","1.92"
"114","DFI.Money","YFII","75135730","1946.72","38596","138725490","0.14","1.95","-13.55"
"115","KuCoin Shares","KCS","73517868","0.910682","80728394","6663667","0.00","2.87","4.91"
"116","Divi","DIVI","73304502","0.037545","1952462511","238786","-0.19","2.07","-9.67"
"117","Verge","XVG","71437098","0.004363","16374424943","1150736","-0.49","1.23","-2.10"
"118","SwissBorg","CHSB","70696302","0.076560","923413697","86189","0.73","1.92","-6.04"
"119","Kava.io","KAVA","68865891","2.06","33485395","6714267","0.29","-0.87","-12.38"
"120","iExec RLC","RLC","68113755","0.850669","80070793","1553837","-0.18","-0.86","-9.32"
"121","Komodo","KMD","65594165","0.536194","122332951","2313612","-4.25","-3.53","-7.69"
"122","PAX Gold","PAXG","65529504","1890.90","34655","963452","0.03","-0.56","-1.77"
"123","Serum","SRM","64912456","1.30","50000000","30958056","0.25","-0.60","0.44"
"124","Matic Network","MATIC","64273849","0.016779","3830626432","4691841","0.00","0.81","-3.60"
"125","Penta","PNT","59057377","0.002810","21014319521","90278","-6.69","0.00","-4.63"
"126","Horizen","ZEN","61062600","6.00","10180175","6160400","0.51","-1.93","5.73"
"127","Helium","HNT","60427714","1.19","50783430","2126165","-0.82","-1.41","-17.76"
"128","Steem","STEEM","60931892","0.156668","388923630","2172824","-0.45","-0.46","-7.63"
"129","Hive","HIVE","60676885","0.150604","402891089","1189125","0.13","-1.46","-16.15"
"130","Velas","VLX","60202665","0.042648","1411632215","3147191","-1.50","-13.41","-15.48"
"131","RSK Infrastructure Framework","RIF","59982280","0.091426","656073345","278307","1.58","-0.53","-0.04"
"132","JUST","JST","58740605","0.025988","2260326706","37157494","0.31","-0.45","-11.94"
"133","Hyperion","HYN","57674705","0.182074","316765917","802721","0.32","2.27","2.57"
"134","Utrust","UTK","57297728","0.127328","450000000","2345641","-0.28","2.22","-4.89"
"135","MCO","MCO","57130142","3.62","15793831","1372631","0.02","-5.12","-15.70"
"136","Fantom","FTM","56453377","0.026480","2131906423","7149159","1.01","5.22","-14.98"
"137","IRISnet","IRIS","55322898","0.065367","846338076","3505461","-0.67","-1.03","6.93"
"138","BitShares","BTS","55565992","0.018538","2997450000","4139015","-0.79","-2.08","-6.12"
"139","WAX","WAXP","53478886","0.039068","1368862407","200585","0.21","1.09","-5.35"
"140","Electroneum","ETN","53011457","0.005197","10200941699","810782","0.28","0.00","-1.79"
"141","Chiliz","CHZ","52959931","0.010763","4920737861","4069911","-0.12","1.72","-4.94"
"142","TomoChain","TOMO","52755311","0.696435","75750550","3672866","-0.09","0.28","-6.19"
"143","aelf","ELF","50780703","0.093265","544480200","5748977","0.07","-1.60","-6.13"
"144","Ankr","ANKR","50860664","0.008725","5829566044","10610732","1.56","8.16","28.52"
"145","HyperCash","HC","48069349","1.07","44835825","10397865","0.20","-0.47","-4.28"
"146","Theta Fuel","TFUEL","48126735","0.009698","4962631792","1288171","-0.24","-1.64","-2.11"
"147","Ardor","ARDR","47970239","0.048018","998999495","2028232","-0.64","-0.02","-11.57"
"148","Gnosis","GNO","47153983","42.69","1104590","555056","0.39","-1.93","3.77"
"149","Energi","NRG","46229333","1.36","34066157","1840442","-2.95","-0.40","-9.12"
"150","MXC","MXC","45745699","0.017557","2605538083","5239392","-0.43","5.77","-10.64"
"151","Uquid Coin","UQC","51747339","5.17","10000000","8329195","12.33","21.18","4.18"
"152","Unibright","UBT","44977691","0.302269","148799999","1054530","2.33","-0.37","-2.12"
"153","Wanchain","WAN","44350903","0.262957","168662423","1140554","-0.12","2.13","0.26"
"154","MaidSafeCoin","MAID","43712202","0.096590","452552412","297784","-0.04","1.80","11.67"
"155","Zcoin","XZC","42928464","3.86","11114956","4516048","-0.13","0.00","-0.79"
"156","ShareToken","SHR","42929184","0.022032","1948491480","4965591","-0.02","2.67","-7.47"
"157","Curve DAO Token","CRV","42425046","0.440946","96213763","13654829","-0.91","-0.79","-21.17"
"158","Handshake ","HNS","42371714","0.134378","315316376","674682","0.75","-2.00","-10.85"
"159","Stratis","STRAT","41970820","0.419711","99999382","320188","-0.06","-0.03","-7.20"
"160","DIA","DIA","40300381","1.43","28271916","11684030","0.24","10.00","-2.45"
"161","Pundi X","NPXS","38712703","0.000165","234544488396","2413444","0.39","1.90","-9.53"
"162","GateToken","GT","38354852","0.491505","78035472","28283181","-0.27","0.20","-6.34"
"163","v.systems","VSYS","37911594","0.017931","2114308148","1212242","-0.59","-0.56","-8.66"
"164","SOLVE","SOLVE","38180522","0.112081","340651077","576306","-0.05","-2.87","2.61"
"165","WaykiChain","WICC","38155057","0.201879","189000000","28711380","0.06","0.20","-11.04"
"166","xDai","STAKE","37887732","12.67","2989249","5633665","-0.63","16.70","-8.22"
"167","Hxro","HXRO","37342924","0.213933","174554622","171925","-0.70","-1.78","-0.57"
"168","Aion","AION","37282717","0.079626","468225632","1576919","-0.04","0.66","0.50"
"169","Fetch.ai","FET","37198667","0.049857","746113681","4225220","0.36","7.63","-5.46"
"170","Ark","ARK","37084034","0.297731","124555321","1138722","-0.46","-0.45","-6.66"
"171","STASIS EURO","EURS","36766876","1.15","31979207","982307","-0.02","0.20","-2.33"
"172","Tellor","TRB","36452575","24.21","1505527","47068733","-0.88","12.93","-0.44"
"173","Streamr","DATA","35109795","0.050594","693944898","12586360","7.05","16.91","17.87"
"174","Aeternity","AE","34858269","0.107928","322978293","19508749","0.80","0.98","-8.05"
"175","SingularityNET","AGI","34693615","0.041203","842014150","309533","1.23","10.91","-8.81"
"176","Power Ledger","POWR","34298493","0.080880","424067509","412306","-0.20","-0.25","-4.35"
"177","Aurora","AOA","33676921","0.005148","6542330148","3521548","2.44","7.47","-7.27"
"178","Harmony","ONE","33769679","0.005398","6255461110","3589920","1.30","6.83","1.08"
"179","OriginTrail","TRAC","32511941","0.101663","319800296","54792","1.09","1.87","-18.33"
"180","Super Zero Protocol","SERO","32098216","0.109269","293752846","4451964","-3.89","-8.16","12.78"
"181","Orbs","ORBS","29132997","0.013064","2229950518","97470","-0.16","0.05","-11.37"
"182","GXChain","GXC","28834675","0.411924","70000000","8903723","-0.30","0.17","-7.56"
"183","DAD","DAD","28377480","0.210826","134601733","913614","0.80","2.04","-0.27"
"184","Digitex Futures","DGTX","28068532","0.030148","931035715","2249959","-0.50","-0.35","-5.69"
"185","IoTeX","IOTX","28394842","0.005886","4823952133","7251967","-1.03","1.80","-15.77"
"186","BOSAGORA","BOA","27821697","0.098617","282119914","1951493","-2.10","-10.90","53.05"
"187","Wirex Token","WXT","28011304","0.009336","3000500000","545025","-0.11","-1.27","-5.35"
"188","Elastos","ELA","27962647","1.62","17244540","755238","-0.72","0.09","-2.44"
"189","Xensor","XSR","27831422","0.006001","4637982768","1718894","-0.21","-0.26","-2.31"
"190","Flexacoin","FXC","27624295","0.003631","7608049786","367694","12.58","-12.94","38.53"
"191","Akropolis ","AKRO","27429101","0.013743","1995847438","6940476","1.00","12.92","28.67"
"192","Thunder Token","TT","27315384","0.004639","5887903653","2207073","0.22","1.12","-3.88"
"193","Ultra","UOS","26918070","0.096321","279461319","598254","-0.77","3.50","-18.01"
"194","Syscoin","SYS","26637430","0.044549","597938111","244180","0.40","-1.78","-9.43"
"195","Melon","MLN","26329497","17.64","1492260","1745910","-1.37","-4.39","-28.09"
"196","Polymath","POLY","25851698","0.048457","533500099","550423","-0.21","-0.81","0.99"
"197","Voyager Token","VGX","25697380","0.115600","222295208","341119","-0.69","-2.93","4.98"
"198","MX Token","MX","25530893","0.164005","155671626","2178228","0.71","-1.98","10.49"
"199","HEX","HEX","1627079242","0.004360","373214457952","1424847","0.86","3.27","8.21"
"200","Eterbase Utility Token","XBASE","732699265","0.732699","1000000000","","0.09","1.06","-58.13"
